node_id,node_attr
0,user:current_user
1,item:b000wc45se
2,time_bucket:2008_09
3,category:digital_music
4,category:cds_vinyl
5,category:international_music
6,category:europe
7,category:britain_ireland
8,category:britain
9,store:the_puppini_sisters_format:_audio_cd
10,price_range:medium
11,aspect:fit
12,item:b000bli3bg
13,time_bucket:2008_12
14,category:pop
15,category:vocal_pop
16,store:lee_holdridge_composer_ron_perlman_performer_format:_audio_cd
17,price_range:high
18,aspect:delivery
19,item:b001avtlg2
20,category:british_isles
21,store:beth_rowley_format:_audio_cd
