node_id,node_attr
0,user:current_user
1,item:b00007eb6t
2,time_bucket:2003_01
3,category:digital_music
4,category:cds_vinyl
5,category:new_age
6,category:meditation
7,store:cirque_du_soleil_format:_audio_cd
8,price_range:low
9,item:b00006i4yd
10,time_bucket:2003_02
11,category:today_s_deals_in_music
12,category:alternative_rock
13,category:alternative_general
14,category:cds_7_-_10
15,store:tori_amos_format:_audio_cd
16,price_range:medium
17,aspect:scent
18,item:b00008ngcs
19,time_bucket:2003_05
20,category:international_music
21,category:europe
22,category:continental_europe
23,category:italy
24,store:tiziano_ferro_format:_audio_cd
25,aspect:value
