node_id,node_attr
0,user:current_user
1,item:b000n3awde
2,time_bucket:2008_03
3,category:digital_music
4,category:cds_vinyl
5,category:international_music
6,category:europe
7,category:continental_europe
8,category:france
9,store:celine_dion_format:_audio_cd
10,price_range:unknown
11,item:b00000j2qd
12,category:middle_east
13,category:israel
14,store:bartomeu_carceres_composer_juan_del_encina_composer_garcimunos_composer_luis_de_
15,price_range:medium
16,aspect:delivery
17,item:b00000jbdw
18,category:jazz
19,category:swing_jazz
20,category:classic_big_band
21,store:peggy_lee_benny_goodman_format:_audio_cd
22,price_range:low
23,aspect:performance
