node_id,node_attr
0,user:current_user
1,item:b000002onn
2,time_bucket:2006_06
3,category:digital_music
4,category:cds_vinyl
5,category:today_s_deals_in_music
6,category:broadway_vocalists
7,category:traditional_vocal_pop
8,category:cds_7_-_10
9,store:richard_harris_format:_audio_cd
10,price_range:medium
11,aspect:quality
12,item:b000002b0e
13,category:pop
14,category:oldies
15,category:traditional_pop
16,store:boswell_sisters_format:_audio_cd
17,item:b000046pvj
18,category:pop_rock
19,store:leo_sayer_format:_audio_cd
