node_id,node_attr
0,user:current_user
1,item:b0000cfw87
2,time_bucket:2016_11
3,category:digital_music
4,category:cds_vinyl
5,category:children_s_music
6,category:educational
7,store:josh_groban_format:_audio_cd
8,price_range:low
9,aspect:value
10,item:b00005y7i2
11,time_bucket:2021_01
12,category:pop
13,category:oldies
14,category:doo_wop
15,store:various_artists_artist_format:_audio_cd
16,price_range:medium
17,item:b00005r8dv
18,category:holiday_wedding
19,category:christmas
20,store:temptations_format:_audio_cd
