node_id,node_attr
0,user:current_user
1,item:b0009i7o4s
2,time_bucket:2005_10
3,category:digital_music
4,category:cds_vinyl
5,category:today_s_deals_in_music
6,category:pop
7,category:easy_listening
8,store:herb_alpert_tijuana_brass_format:_audio_cd
9,price_range:medium
10,aspect:price
11,aspect:quality
12,item:b000002nak
13,time_bucket:2005_11
14,category:broadway_vocalists
15,category:musicals
16,store:antonio_banderas_madonna_jonathan_pryce_evita_related_recordings_andrew_lloyd_we
17,price_range:low
18,item:b00005jga4
19,category:country
20,category:today_s_country
21,store:bread_format:_audio_cd
22,aspect:comfort
