node_id,node_attr
0,user:current_user
1,item:b00005o54o
2,time_bucket:2002_04
3,category:digital_music
4,category:cds_vinyl
5,category:international_music
6,category:europe
7,category:continental_europe
8,category:italy
9,store:alessandro_safina_format:_audio_cd
10,price_range:medium
11,aspect:performance
12,item:b0000007hy
13,category:classical
14,category:forms_genres
15,category:theatrical_incidental_program_music
16,category:incidental_music
17,store:pathways_of_baroque_music-secu_artist_format:_audio_cd
18,item:b00001ivqn
19,time_bucket:2002_06
20,store:giovanni_battista_pergolesi_performer_christophe_rousset_performer_barbara_bonne
21,price_range:low
