node_id,node_attr
0,user:current_user
1,item:b0001ul7ry
2,time_bucket:2005_02
3,category:digital_music
4,category:cds_vinyl
5,category:pop
6,category:adult_alternative
7,store:avril_lavigne_format:_audio_cd
8,price_range:medium
9,item:b0000003l7
10,category:indie_alternative
11,category:indie_lo-fi
12,category:indie_rock
13,store:brave_combo_tiny_tim_format:_audio_cd
14,price_range:high
15,item:b000068vst
16,category:country
17,category:outlaw_country
18,store:gordon_lightfoot_format:_audio_cd
19,price_range:unknown
20,aspect:performance
