node_id,node_attr
0,user:current_user
1,item:b0000017ea
2,time_bucket:2007_04
3,category:digital_music
4,category:cds_vinyl
5,category:pop
6,category:oldies
7,category:traditional_pop
8,store:annette_hanshaw_format:_audio_cd
9,price_range:low
10,aspect:quality
11,item:b00000093j
12,time_bucket:2007_09
13,category:country
14,category:today_s_country
15,store:village_stompers_format:_audio_cd
16,price_range:high
17,item:b000ptyuqg
18,time_bucket:2008_01
19,category:classical
20,category:forms_genres
21,category:theatrical_incidental_program_music
22,category:tone_poems
23,store:igor_stravinsky_conductor_format:_audio_cd
24,price_range:medium
