node_id,node_attr
0,user:current_user
1,item:b0000003cg
2,time_bucket:2001_10
3,category:digital_music
4,category:cds_vinyl
5,category:folk
6,category:british_celtic_folk
7,category:celtic_folk
8,store:la_bottine_souriante_format:_audio_cd
9,price_range:low
10,aspect:taste
11,item:b00004svjl
12,category:today_s_deals_in_music
13,category:dance_dj
14,category:dance_general
15,category:cds_7_-_10
16,store:center_stage_music_from_the_motion_picture_artist_format:_audio_cd
17,item:b000002bsg
18,category:international_music
19,category:europe
20,category:britain_ireland
21,category:britain
22,store:jamiroquai_format:_audio_cd
23,price_range:medium
