node_id,node_attr
0,user:current_user
1,item:b000002u51
2,time_bucket:2008_03
3,category:digital_music
4,category:cds_vinyl
5,category:pop
6,category:oldies
7,category:traditional_pop
8,store:frank_sinatra_format:_audio_cd
9,price_range:high
10,aspect:taste
11,item:b000tm084c
12,category:international_music
13,category:caribbean_cuba
14,category:cuba
15,category:salsa
16,store:gloria_estefan_gloria_estefan_and_miami_sound_machine_format:_audio_cd
17,price_range:low
18,item:b000002lnd
19,category:adult_contemporary
20,store:madonna_artist_format:_audio_cd
21,price_range:medium
