node_id,node_attr
0,user:current_user
1,item:b000ssesvg
2,time_bucket:2007_08
3,category:digital_music
4,category:cds_vinyl
5,category:pop
6,category:adult_contemporary
7,store:darren_hayes_format:_audio_cd
8,price_range:premium
9,aspect:packaging
10,aspect:size
11,item:b0000af1li
12,time_bucket:2008_03
13,category:classical
14,category:chamber_music
15,store:itzhak_perlman_artist_performer_dov_seltzer_conductor_israel_philharmonic_orches
16,price_range:low
17,aspect:delivery
18,aspect:performance
19,item:b0012gmvh6
20,category:oldies
21,category:traditional_pop
22,store:frank_sinatra_format:_audio_cd
23,aspect:price
