node_id,node_attr
0,user:current_user
1,item:b0000e6eir
2,time_bucket:2004_03
3,category:digital_music
4,category:cds_vinyl
5,category:dance_electronic
6,category:world_dance
7,store:lhasa_de_sela_format:_audio_cd
8,price_range:low
9,item:b000168aci
10,time_bucket:2004_05
11,category:broadway_vocalists
12,category:cabaret
13,store:beno_t_charest_composer_ben_charest_composer_format:_audio_cd
14,item:b00000afyl
15,time_bucket:2004_06
16,category:soundtracks
17,category:movie_scores
18,store:john_barry_composer_john_debney_conductor_royalscottish_national_orchestra_orche
19,price_range:medium
20,aspect:quality
21,aspect:packaging
22,aspect:design
