node_id,node_attr
0,user:current_user
1,item:b000002o4t
2,time_bucket:2007_03
3,category:digital_music
4,category:cds_vinyl
5,category:country
6,category:classic_country
7,category:nashville_sound
8,store:soundtrack_artist_format:_audio_cd
9,price_range:low
10,item:b0006ssox6
11,category:classical
12,category:forms_genres
13,category:concertos
14,store:sinfonia_varsovia_hobson_ian_artist_format:_audio_cd
15,item:b00008mlsk
16,category:jazz
17,category:swing_jazz
18,category:classic_big_band
19,store:maria_muldaur_dan_hicks_format:_audio_cd
20,price_range:medium
21,aspect:quality
