node_id,node_attr
0,user:current_user
1,item:b000008919
2,time_bucket:2001_10
3,category:digital_music
4,category:cds_vinyl
5,category:pop
6,category:adult_alternative
7,store:savage_garden_format:_audio_cd
8,price_range:medium
9,aspect:design
10,item:b0000003cg
11,category:folk
12,category:british_celtic_folk
13,category:celtic_folk
14,store:la_bottine_souriante_format:_audio_cd
15,price_range:low
16,aspect:taste
17,item:b00004svjl
18,category:today_s_deals_in_music
19,category:dance_dj
20,category:dance_general
21,category:cds_7_-_10
22,store:center_stage_music_from_the_motion_picture_artist_format:_audio_cd
