node_id,node_attr
0,user:current_user
1,item:b00005yw4h
2,time_bucket:2008_03
3,category:digital_music
4,category:cds_vinyl
5,category:pop
6,category:singer-songwriters
7,store:norah_jones_format:_audio_cd
8,price_range:low
9,aspect:delivery
10,aspect:comfort
11,item:b0000009k8
12,category:international_music
13,category:europe
14,category:british_isles
15,category:britain
16,store:james_hunter_format:_audio_cd
17,price_range:medium
18,aspect:performance
19,item:b00004wk1h
20,category:ireland
21,store:susana_seivane_format:_audio_cd
