node_id,node_attr
0,user:current_user
1,item:b0041w565m
2,time_bucket:2012_01
3,category:digital_music
4,category:cds_vinyl
5,category:christian_gospel
6,category:pop_contemporary
7,store:joslin_grove_choral_society_format:_audio_cd
8,price_range:medium
9,aspect:performance
10,item:b000k2ug5c
11,store:various_artists_artist_format:_audio_cd
12,price_range:low
13,item:b000000dim
14,time_bucket:2012_12
15,category:today_s_deals_in_music
16,category:country
17,category:country_general
18,category:cds_7_-_10
19,store:eddy_arnold_format:_audio_cd
