src,edge_attr,dst
0,reviewed,1
0,rated_4,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,sold_by,7
1,has_price_range,8
0,positive_about,9
0,reviewed,10
0,rated_5,10
10,interacted_at,11
10,belongs_to,12
10,belongs_to,4
10,belongs_to,13
10,belongs_to,14
10,sold_by,15
10,has_price_range,16
0,reviewed,17
0,rated_5,17
17,interacted_at,11
17,belongs_to,12
17,belongs_to,4
17,belongs_to,5
17,belongs_to,6
17,belongs_to,18
17,belongs_to,19
17,sold_by,20
17,has_price_range,16
