src,edge_attr,dst
0,reviewed,1
0,rated_4,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,belongs_to,7
1,belongs_to,8
1,sold_by,9
1,has_price_range,10
0,reviewed,11
0,rated_4,11
11,interacted_at,12
11,belongs_to,3
11,belongs_to,4
11,belongs_to,13
11,belongs_to,14
11,sold_by,15
11,has_price_range,10
0,positive_about,16
0,reviewed,17
0,rated_4,17
17,interacted_at,18
17,belongs_to,3
17,belongs_to,4
17,belongs_to,19
17,belongs_to,20
17,sold_by,21
17,has_price_range,10
