src,edge_attr,dst
0,reviewed,1
0,rated_5,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,belongs_to,7
1,sold_by,8
1,has_price_range,9
0,reviewed,10
0,rated_5,10
10,interacted_at,2
10,belongs_to,3
10,belongs_to,4
10,belongs_to,11
10,belongs_to,12
10,sold_by,13
10,has_price_range,14
0,reviewed,15
0,rated_5,15
15,interacted_at,2
15,belongs_to,3
15,belongs_to,4
15,belongs_to,16
15,belongs_to,17
15,belongs_to,18
15,belongs_to,19
15,sold_by,20
15,has_price_range,14
0,positive_about,21
