src,edge_attr,dst
0,reviewed,1
0,rated_5,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,sold_by,7
1,has_price_range,8
0,reviewed,9
0,rated_5,9
9,interacted_at,10
9,belongs_to,3
9,belongs_to,4
9,belongs_to,11
9,belongs_to,12
9,belongs_to,13
9,belongs_to,14
9,sold_by,15
9,has_price_range,8
0,reviewed,16
0,rated_5,16
16,interacted_at,10
16,belongs_to,3
16,belongs_to,4
16,belongs_to,17
16,belongs_to,18
16,sold_by,19
16,has_price_range,20
0,positive_about,21
0,positive_about,22
