src,edge_attr,dst
0,reviewed,1
0,rated_5,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,sold_by,7
1,has_price_range,8
0,positive_about,9
0,reviewed,10
0,rated_5,10
10,interacted_at,11
10,belongs_to,3
10,belongs_to,4
10,belongs_to,12
10,belongs_to,13
10,belongs_to,14
10,belongs_to,15
10,sold_by,16
10,has_price_range,17
0,positive_about,18
0,reviewed,19
0,rated_5,19
19,interacted_at,11
19,belongs_to,3
19,belongs_to,4
19,belongs_to,13
19,belongs_to,20
19,sold_by,21
19,has_price_range,8
0,positive_about,22
0,negative_about,22
