src,edge_attr,dst
0,reviewed,1
0,rated_5,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,belongs_to,7
1,belongs_to,8
1,sold_by,9
1,has_price_range,10
0,positive_about,11
0,positive_about,12
0,reviewed,13
0,rated_5,13
13,interacted_at,2
13,belongs_to,3
13,belongs_to,4
13,belongs_to,5
13,belongs_to,6
13,belongs_to,7
13,belongs_to,8
13,sold_by,9
13,has_price_range,14
0,reviewed,15
0,rated_4,15
15,interacted_at,16
15,belongs_to,3
15,belongs_to,4
15,belongs_to,17
15,belongs_to,18
15,belongs_to,19
15,sold_by,20
15,has_price_range,14
