src,edge_attr,dst
0,reviewed,1
0,rated_5,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,belongs_to,7
1,belongs_to,8
1,sold_by,9
1,has_price_range,10
0,reviewed,11
0,rated_4,11
11,interacted_at,12
11,belongs_to,3
11,belongs_to,4
11,belongs_to,6
11,belongs_to,13
11,sold_by,14
11,has_price_range,10
0,reviewed,15
0,rated_5,15
15,interacted_at,16
15,belongs_to,3
15,belongs_to,4
15,belongs_to,17
15,belongs_to,18
15,belongs_to,19
15,belongs_to,20
15,sold_by,21
15,has_price_range,22
