src,edge_attr,dst
0,reviewed,1
0,rated_5,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,belongs_to,7
1,belongs_to,8
1,sold_by,9
1,has_price_range,10
0,positive_about,11
0,positive_about,12
0,positive_about,13
0,reviewed,14
0,rated_5,14
14,interacted_at,15
14,belongs_to,3
14,belongs_to,4
14,belongs_to,16
14,belongs_to,17
14,belongs_to,18
14,belongs_to,19
14,sold_by,20
14,has_price_range,21
0,reviewed,22
0,rated_4,22
22,interacted_at,23
22,belongs_to,3
22,belongs_to,4
22,belongs_to,16
22,belongs_to,17
22,belongs_to,18
22,belongs_to,19
22,sold_by,24
22,has_price_range,21
