src,edge_attr,dst
0,reviewed,1
0,rated_4,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,belongs_to,7
1,belongs_to,8
1,sold_by,9
1,has_price_range,10
0,positive_about,11
0,negative_about,11
0,positive_about,12
0,negative_about,12
0,positive_about,13
0,negative_about,13
0,reviewed,14
0,rated_4,14
14,interacted_at,2
14,belongs_to,15
14,belongs_to,4
14,belongs_to,5
14,belongs_to,16
14,belongs_to,17
14,sold_by,18
14,has_price_range,10
0,reviewed,19
0,rated_3,19
19,interacted_at,2
19,belongs_to,15
19,belongs_to,4
19,belongs_to,20
19,belongs_to,21
19,sold_by,22
19,has_price_range,23
0,positive_about,24
0,positive_about,25
