src,edge_attr,dst
0,reviewed,1
0,rated_5,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,sold_by,7
1,has_price_range,8
0,positive_about,9
0,positive_about,10
0,positive_about,11
0,reviewed,12
0,rated_5,12
12,interacted_at,13
12,belongs_to,3
12,belongs_to,4
12,belongs_to,14
12,belongs_to,15
12,belongs_to,16
12,belongs_to,17
12,sold_by,18
12,has_price_range,8
0,positive_about,19
0,reviewed,20
0,rated_5,20
20,interacted_at,13
20,belongs_to,3
20,belongs_to,4
20,belongs_to,14
20,belongs_to,15
20,belongs_to,16
20,belongs_to,17
20,sold_by,18
20,has_price_range,21
