src,edge_attr,dst
0,reviewed,1
0,rated_5,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,belongs_to,7
1,belongs_to,8
1,sold_by,9
1,has_price_range,10
0,positive_about,11
0,reviewed,12
0,rated_4,12
12,interacted_at,2
12,belongs_to,3
12,belongs_to,4
12,belongs_to,5
12,belongs_to,6
12,belongs_to,7
12,belongs_to,13
12,sold_by,14
12,has_price_range,15
0,reviewed,16
0,rated_5,16
16,interacted_at,2
16,belongs_to,3
16,belongs_to,4
16,belongs_to,5
16,belongs_to,17
16,belongs_to,18
16,sold_by,19
16,has_price_range,10
