src,edge_attr,dst
0,reviewed,1
0,rated_5,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,belongs_to,7
1,belongs_to,8
1,sold_by,9
1,has_price_range,10
0,positive_about,11
0,positive_about,12
0,reviewed,13
0,rated_5,13
13,interacted_at,2
13,belongs_to,3
13,belongs_to,4
13,belongs_to,5
13,belongs_to,6
13,belongs_to,7
13,belongs_to,14
13,sold_by,15
13,has_price_range,10
0,reviewed,16
0,rated_5,16
16,interacted_at,2
16,belongs_to,3
16,belongs_to,4
16,belongs_to,5
16,belongs_to,6
16,belongs_to,17
16,belongs_to,18
16,sold_by,19
16,has_price_range,10
0,positive_about,20
0,negative_about,20
0,negative_about,11
