src,edge_attr,dst
0,reviewed,1
0,rated_4,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,belongs_to,7
1,belongs_to,8
1,sold_by,9
1,has_price_range,10
0,positive_about,11
0,reviewed,12
0,rated_5,12
12,interacted_at,2
12,belongs_to,3
12,belongs_to,4
12,belongs_to,13
12,belongs_to,14
12,belongs_to,15
12,sold_by,16
12,has_price_range,17
0,reviewed,18
0,rated_4,18
18,interacted_at,2
18,belongs_to,19
18,belongs_to,4
18,belongs_to,5
18,belongs_to,6
18,belongs_to,20
18,belongs_to,8
18,sold_by,21
18,has_price_range,22
0,positive_about,23
0,negative_about,23
0,positive_about,24
0,negative_about,24
0,positive_about,25
0,negative_about,25
