src,edge_attr,dst
0,reviewed,1
0,rated_5,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,belongs_to,7
1,belongs_to,8
1,sold_by,9
1,has_price_range,10
0,positive_about,11
0,reviewed,12
0,rated_5,12
12,interacted_at,2
12,belongs_to,3
12,belongs_to,4
12,belongs_to,13
12,belongs_to,14
12,sold_by,15
12,has_price_range,16
0,reviewed,17
0,rated_4,17
17,interacted_at,2
17,belongs_to,3
17,belongs_to,4
17,belongs_to,5
17,belongs_to,13
17,belongs_to,18
17,belongs_to,8
17,sold_by,19
17,has_price_range,10
