src,edge_attr,dst
0,reviewed,1
0,rated_5,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,belongs_to,7
1,sold_by,8
1,has_price_range,9
0,reviewed,10
0,rated_4,10
10,interacted_at,2
10,belongs_to,11
10,belongs_to,4
10,belongs_to,12
10,belongs_to,13
10,belongs_to,14
10,belongs_to,15
10,sold_by,16
10,has_price_range,17
0,positive_about,18
0,negative_about,18
0,positive_about,19
0,negative_about,19
0,positive_about,20
0,negative_about,20
0,reviewed,21
0,rated_4,21
21,interacted_at,2
21,belongs_to,3
21,belongs_to,4
21,belongs_to,12
21,belongs_to,22
21,belongs_to,23
21,sold_by,24
21,has_price_range,17
