src,edge_attr,dst
0,reviewed,1
0,rated_5,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,belongs_to,7
1,sold_by,8
1,has_price_range,9
0,reviewed,10
0,rated_5,10
10,interacted_at,11
10,belongs_to,3
10,belongs_to,4
10,belongs_to,12
10,belongs_to,13
10,sold_by,14
10,has_price_range,9
0,positive_about,15
0,negative_about,15
0,positive_about,16
0,negative_about,16
0,reviewed,17
0,rated_4,17
17,interacted_at,18
17,belongs_to,3
17,belongs_to,4
17,belongs_to,19
17,belongs_to,20
17,sold_by,21
17,has_price_range,9
0,positive_about,22
0,negative_about,22
