src,edge_attr,dst
0,reviewed,1
0,rated_5,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,belongs_to,7
1,sold_by,8
1,has_price_range,9
0,positive_about,10
0,reviewed,11
0,rated_5,11
11,interacted_at,12
11,belongs_to,3
11,belongs_to,4
11,belongs_to,13
11,belongs_to,14
11,belongs_to,15
11,belongs_to,16
11,sold_by,17
11,has_price_range,18
0,reviewed,19
0,rated_5,19
19,interacted_at,12
19,belongs_to,3
19,belongs_to,4
19,belongs_to,20
19,belongs_to,21
19,sold_by,22
19,has_price_range,9
