src,edge_attr,dst
0,reviewed,1
0,rated_5,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,sold_by,7
1,has_price_range,8
0,positive_about,9
0,reviewed,10
0,rated_5,10
10,interacted_at,2
10,belongs_to,3
10,belongs_to,4
10,belongs_to,5
10,belongs_to,6
10,sold_by,7
10,has_price_range,11
0,positive_about,12
0,negative_about,12
0,negative_about,9
0,reviewed,13
0,rated_5,13
13,interacted_at,2
13,belongs_to,3
13,belongs_to,4
13,belongs_to,14
13,belongs_to,15
13,belongs_to,16
13,belongs_to,17
13,sold_by,18
13,has_price_range,19
0,positive_about,20
