src,edge_attr,dst
0,reviewed,1
0,rated_5,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,sold_by,7
1,has_price_range,8
0,positive_about,9
0,negative_about,9
0,positive_about,10
0,negative_about,10
0,reviewed,11
0,rated_5,11
11,interacted_at,2
11,belongs_to,3
11,belongs_to,4
11,belongs_to,12
11,belongs_to,13
11,belongs_to,14
11,belongs_to,15
11,sold_by,16
11,has_price_range,17
0,positive_about,18
0,reviewed,19
0,rated_5,19
19,interacted_at,2
19,belongs_to,3
19,belongs_to,4
19,belongs_to,20
19,belongs_to,21
19,belongs_to,22
19,belongs_to,23
19,sold_by,24
19,has_price_range,8
