src,edge_attr,dst
0,reviewed,1
0,rated_4,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,sold_by,6
1,has_price_range,7
0,reviewed,8
0,rated_5,8
8,interacted_at,9
8,belongs_to,3
8,belongs_to,4
8,belongs_to,10
8,belongs_to,11
8,sold_by,12
8,has_price_range,13
0,positive_about,14
0,positive_about,15
0,reviewed,16
0,rated_5,16
16,interacted_at,17
16,belongs_to,3
16,belongs_to,4
16,belongs_to,18
16,belongs_to,19
16,sold_by,20
16,has_price_range,21
0,positive_about,22
0,negative_about,22
