src,edge_attr,dst
0,reviewed,1
0,rated_5,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,sold_by,7
1,has_price_range,8
0,positive_about,9
0,positive_about,10
0,reviewed,11
0,rated_5,11
11,interacted_at,2
11,belongs_to,3
11,belongs_to,4
11,belongs_to,5
11,belongs_to,6
11,sold_by,12
11,has_price_range,13
0,reviewed,14
0,rated_5,14
14,interacted_at,2
14,belongs_to,3
14,belongs_to,4
14,belongs_to,15
14,belongs_to,16
14,sold_by,17
14,has_price_range,8
0,positive_about,18
