src,edge_attr,dst
0,reviewed,1
0,rated_5,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,belongs_to,7
1,belongs_to,8
1,sold_by,9
1,has_price_range,10
0,positive_about,11
0,positive_about,12
0,positive_about,13
0,positive_about,14
0,positive_about,15
0,reviewed,16
0,rated_3,16
16,interacted_at,2
16,belongs_to,3
16,belongs_to,4
16,belongs_to,6
16,belongs_to,17
16,sold_by,18
16,has_price_range,10
0,positive_about,19
0,reviewed,20
0,rated_5,20
20,interacted_at,2
20,belongs_to,3
20,belongs_to,4
20,belongs_to,21
20,belongs_to,22
20,belongs_to,23
20,belongs_to,24
20,sold_by,25
20,has_price_range,26
0,positive_about,27
