src,edge_attr,dst
0,reviewed,1
0,rated_4,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,belongs_to,7
1,belongs_to,8
1,sold_by,9
1,has_price_range,10
0,reviewed,11
0,rated_5,11
11,interacted_at,2
11,belongs_to,3
11,belongs_to,4
11,belongs_to,12
11,belongs_to,13
11,belongs_to,14
11,belongs_to,15
11,sold_by,16
11,has_price_range,10
0,positive_about,17
0,reviewed,18
0,rated_4,18
18,interacted_at,2
18,belongs_to,3
18,belongs_to,4
18,belongs_to,19
18,belongs_to,20
18,belongs_to,21
18,sold_by,22
18,has_price_range,10
