src,edge_attr,dst
0,reviewed,1
0,rated_5,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,belongs_to,7
1,sold_by,8
1,has_price_range,9
0,positive_about,10
0,reviewed,11
0,rated_4,11
11,interacted_at,12
11,belongs_to,3
11,belongs_to,4
11,belongs_to,13
11,sold_by,14
11,has_price_range,15
0,reviewed,16
0,rated_5,16
16,interacted_at,17
16,belongs_to,3
16,belongs_to,4
16,belongs_to,18
16,belongs_to,19
16,sold_by,20
16,has_price_range,21
0,positive_about,22
0,positive_about,23
