src,edge_attr,dst
0,reviewed,1
0,rated_4,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,sold_by,7
1,has_price_range,8
0,positive_about,9
0,negative_about,9
0,reviewed,10
0,rated_5,10
10,interacted_at,2
10,belongs_to,3
10,belongs_to,4
10,belongs_to,11
10,belongs_to,12
10,sold_by,13
10,has_price_range,8
0,positive_about,14
0,negative_about,14
0,reviewed,15
0,rated_5,15
15,interacted_at,16
15,belongs_to,3
15,belongs_to,4
15,belongs_to,17
15,belongs_to,18
15,belongs_to,19
15,sold_by,20
15,has_price_range,21
