src,edge_attr,dst
0,reviewed,1
0,rated_4,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,belongs_to,7
1,sold_by,8
1,has_price_range,9
0,reviewed,10
0,rated_5,10
10,interacted_at,2
10,belongs_to,3
10,belongs_to,4
10,belongs_to,11
10,belongs_to,12
10,sold_by,13
10,has_price_range,9
0,positive_about,14
0,negative_about,14
0,positive_about,15
0,negative_about,15
0,reviewed,16
0,rated_4,16
16,interacted_at,17
16,belongs_to,3
16,belongs_to,4
16,belongs_to,18
16,belongs_to,19
16,sold_by,20
16,has_price_range,21
0,positive_about,22
0,negative_about,22
0,positive_about,23
0,negative_about,23
0,positive_about,24
0,negative_about,24
