src,edge_attr,dst
0,reviewed,1
0,rated_5,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,belongs_to,7
1,sold_by,8
1,has_price_range,9
0,reviewed,10
0,rated_5,10
10,interacted_at,2
10,belongs_to,3
10,belongs_to,4
10,belongs_to,11
10,belongs_to,12
10,sold_by,13
10,has_price_range,9
0,reviewed,14
0,rated_5,14
14,interacted_at,15
14,belongs_to,3
14,belongs_to,4
14,belongs_to,16
14,belongs_to,17
14,sold_by,18
14,has_price_range,19
0,positive_about,20
0,positive_about,21
