src,edge_attr,dst
0,reviewed,1
0,rated_3,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,sold_by,7
1,has_price_range,8
0,positive_about,9
0,positive_about,10
0,positive_about,11
0,reviewed,12
0,rated_5,12
12,interacted_at,2
12,belongs_to,3
12,belongs_to,4
12,belongs_to,13
12,belongs_to,14
12,belongs_to,15
12,sold_by,16
12,has_price_range,17
0,reviewed,18
0,rated_5,18
18,interacted_at,19
18,belongs_to,3
18,belongs_to,4
18,belongs_to,20
18,belongs_to,21
18,sold_by,22
18,has_price_range,17
