src,edge_attr,dst
0,reviewed,1
0,rated_4,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,sold_by,7
1,has_price_range,8
0,positive_about,9
0,reviewed,10
0,rated_5,10
10,interacted_at,2
10,belongs_to,3
10,belongs_to,4
10,belongs_to,5
10,belongs_to,6
10,sold_by,7
10,has_price_range,11
0,reviewed,12
0,rated_4,12
12,interacted_at,2
12,belongs_to,3
12,belongs_to,4
12,belongs_to,5
12,belongs_to,13
12,sold_by,14
12,has_price_range,8
0,positive_about,15
0,negative_about,15
