src,edge_attr,dst
0,reviewed,1
0,rated_5,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,belongs_to,7
1,belongs_to,8
1,sold_by,9
1,has_price_range,10
0,positive_about,11
0,positive_about,12
0,reviewed,13
0,rated_5,13
13,interacted_at,2
13,belongs_to,3
13,belongs_to,4
13,belongs_to,5
13,belongs_to,6
13,belongs_to,7
13,belongs_to,8
13,sold_by,9
13,has_price_range,10
0,reviewed,14
0,rated_5,14
14,interacted_at,15
14,belongs_to,3
14,belongs_to,4
14,belongs_to,16
14,belongs_to,17
14,sold_by,18
14,has_price_range,10
