src,edge_attr,dst
0,reviewed,1
0,rated_5,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,belongs_to,7
1,sold_by,8
1,has_price_range,9
0,reviewed,10
0,rated_5,10
10,interacted_at,2
10,belongs_to,3
10,belongs_to,4
10,belongs_to,5
10,belongs_to,6
10,belongs_to,7
10,sold_by,11
10,has_price_range,12
0,reviewed,13
0,rated_5,13
13,interacted_at,2
13,belongs_to,3
13,belongs_to,4
13,belongs_to,14
13,belongs_to,5
13,belongs_to,15
13,belongs_to,16
13,sold_by,17
13,has_price_range,18
