src,edge_attr,dst
0,reviewed,1
0,rated_4,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,belongs_to,7
1,sold_by,8
1,has_price_range,9
0,reviewed,10
0,rated_3,10
10,interacted_at,2
10,belongs_to,3
10,belongs_to,4
10,belongs_to,11
10,belongs_to,12
10,belongs_to,13
10,belongs_to,14
10,sold_by,15
10,has_price_range,16
0,positive_about,17
0,negative_about,17
0,reviewed,18
0,rated_5,18
18,interacted_at,19
18,belongs_to,3
18,belongs_to,4
18,belongs_to,5
18,belongs_to,20
18,sold_by,21
18,has_price_range,22
0,positive_about,23
