src,edge_attr,dst
0,reviewed,1
0,rated_4,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,sold_by,7
1,has_price_range,8
0,reviewed,9
0,rated_4,9
9,interacted_at,2
9,belongs_to,3
9,belongs_to,4
9,belongs_to,5
9,belongs_to,6
9,sold_by,7
9,has_price_range,10
0,positive_about,11
0,positive_about,12
0,reviewed,13
0,rated_5,13
13,interacted_at,14
13,belongs_to,3
13,belongs_to,4
13,belongs_to,15
13,belongs_to,16
13,sold_by,17
13,has_price_range,18
0,positive_about,19
0,positive_about,20
