src,edge_attr,dst
0,reviewed,1
0,rated_5,1
1,interacted_at,2
1,belongs_to,3
1,belongs_to,4
1,belongs_to,5
1,belongs_to,6
1,belongs_to,7
1,belongs_to,8
1,sold_by,9
1,has_price_range,10
0,positive_about,11
0,positive_about,12
0,reviewed,13
0,rated_5,13
13,interacted_at,2
13,belongs_to,3
13,belongs_to,4
13,belongs_to,14
13,belongs_to,15
13,sold_by,16
13,has_price_range,17
0,positive_about,18
0,negative_about,18
0,reviewed,19
0,rated_5,19
19,interacted_at,2
19,belongs_to,3
19,belongs_to,4
19,belongs_to,20
19,belongs_to,21
19,belongs_to,22
19,sold_by,23
19,has_price_range,10
0,positive_about,24
